日期,收盘价,净值,估值,溢价率
8/8/2023,0.9870,0.9745,33.7673,0.2132%
8/9/2023,0.9760,0.9575,33.2324,0.4322%
8/10/2023,0.9590,0.9576,33.2451,0.2404%
8/11/2023,0.9610,0.9452,32.9553,0.3341%
8/14/2023,0.9470,0.9680,33.5343,0.2647%
8/15/2023,0.9790,0.9581,33.1833,1.2828%
8/16/2023,0.9680,0.9486,32.8598,1.1706%
8/17/2023,0.9590,0.9400,32.6315,1.4493%
8/18/2023,0.9460,0.9384,32.4804,0.7884%
8/21/2023,0.9500,0.9634,33.1289,1.1391%
8/22/2023,0.9760,0.9572,33.1097,1.2133%
8/23/2023,0.9720,0.9778,33.3405,1.5038%
8/24/2023,1.0030,0.9530,32.5923,2.5458%
8/25/2023,0.9600,0.9570,32.7631,0.6078%
8/28/2023,0.9680,0.9653,33.0440,1.0122%
8/29/2023,0.9700,0.9903,33.8544,0.4037%
8/30/2023,0.9950,0.9960,34.1519,0.4036%
8/31/2023,0.9950,1.0029,34.2298,-0.1505%
9/1/2023,0.9960,1.0026,34.2533,-0.7078%
9/4/2023,1.0020,1.0025,34.2533,-0.0798%
9/5/2023,1.0020,1.0065,34.3856,-0.0698%
9/6/2023,1.0050,1.0000,33.9209,-0.1590%
9/7/2023,0.9920,0.9882,33.5381,-0.4915%
9/8/2023,1.0000,0.9899,33.6368,1.2248%
9/11/2023,0.9910,0.9974,33.8744,0.3443%
9/12/2023,0.9970,0.9814,33.3858,0.0100%
9/13/2023,0.9850,0.9867,33.5644,0.1729%
9/14/2023,0.9950,0.9945,33.8334,0.6983%
9/15/2023,0.9960,0.9681,33.2248,0.0904%
9/18/2023,0.9760,0.9720,33.4121,0.6704%
9/19/2023,0.9750,0.9676,33.3780,0.2158%
9/20/2023,0.9730,0.9475,32.6076,0.3714%
9/21/2023,0.9520,0.9292,32.0667,0.5068%
9/22/2023,0.9410,0.9330,32.1631,1.1937%
9/25/2023,0.9410,0.9375,32.3453,0.7603%
9/26/2023,0.9330,0.9226,31.7782,-0.5649%
9/27/2023,0.9270,0.9267,32.1668,0.4551%
9/28/2023,0.9340,0.9374,32.4686,0.7008%
10/9/2023,0.9590,0.9740,33.8434,-1.2358%
10/10/2023,0.9720,0.9784,33.9124,-0.3384%
10/11/2023,0.9770,0.9896,34.3577,-0.1839%
10/12/2023,0.9950,0.9888,34.2953,0.4543%
10/13/2023,0.9880,0.9702,33.7508,-0.1617%
10/16/2023,0.9750,0.9818,34.1179,0.4637%
10/17/2023,0.9800,0.9751,33.9370,-0.1732%
10/18/2023,0.9710,0.9612,33.5440,-0.4409%
10/19/2023,0.9540,0.9537,33.4098,-0.7387%
10/20/2023,0.9500,0.9367,32.8894,-0.4715%
10/23/2023,0.9430,0.9427,33.1209,0.5223%
10/24/2023,0.9560,0.9508,32.1773,3.0839%
10/25/2023,0.9520,0.9181,30.5277,0.0210%
10/26/2023,0.9150,0.8976,29.8021,-0.3919%
10/27/2023,0.9120,0.9035,30.0019,1.6156%
10/30/2023,0.9150,0.9114,30.3962,1.1050%
11/1/2023,0.9150,0.9339,31.1825,0.0985%
11/2/2023,0.9380,0.9480,31.4344,0.3745%
11/3/2023,0.9410,0.9614,31.8064,-0.7593%
11/6/2023,0.9590,0.9662,32.0603,-0.2704%
11/7/2023,0.9600,0.9782,32.4284,-0.6931%
11/8/2023,0.9720,0.9837,32.6302,-0.6541%
11/9/2023,0.9840,0.9799,32.4600,0.0203%
11/10/2023,0.9780,1.0079,33.2848,-0.1735%
11/13/2023,1.0050,1.0031,33.1210,-0.3075%
11/14/2023,1.0040,1.0249,33.7151,0.0797%
11/15/2023,1.0290,1.0237,33.7177,0.3902%
11/16/2023,1.0260,1.0315,34.0455,0.1953%
11/17/2023,1.0410,1.0300,33.8838,0.8721%
11/20/2023,1.0240,1.0438,34.3515,-0.5825%
11/21/2023,1.0460,1.0324,33.5097,0.0287%
11/22/2023,1.0340,1.0328,33.6729,-0.1063%
11/23/2023,1.0380,1.0317,33.6729,0.2899%
11/24/2023,1.0350,1.0263,33.5923,0.2130%
